peduc,age,labor,tenure,agegrp,tenuregrp,college,working,wage
graduate,44,1.3573403,7,40-49,4-7,yes,yes,27.46
college,44,.85717005,6,40-49,4-7,no,yes,20.45
high school or equivalent,23,.71548909,3,20-29,0-3,no,no,20.23
high school or equivalent,44,.13349879,4,40-49,4-7,no,yes,19.53
high school or equivalent,26,1.3998562,3,20-29,0-3,no,yes,18.59
high school or equivalent,48,-1.1017183,3,40-49,0-3,no,no,13.59
high school or equivalent,73,-.78211033,6,60 up,4-7,no,no,19.99
college,54,-1.369647,5,50-59,4-7,no,no,21.16
high school or equivalent,21,.50678086,1,20-29,0-3,no,no,13.39
college,73,-.87874937,7,60 up,4-7,no,no,22.83
graduate,40,-.58198154,5,40-49,4-7,yes,yes,23.61
high school or equivalent,30,2.8644938,5,30-39,4-7,no,yes,18.36
graduate,31,-2.6355722,2,30-39,0-3,no,no,15.66
high school or equivalent,35,1.7211634,5,30-39,4-7,yes,yes,25.84
college,26,-1.3151361,2,20-29,0-3,yes,yes,23.43
high school or equivalent,64,-2.252068,4,60 up,4-7,no,yes,23.67
high school or equivalent,61,1.828617,7,60 up,4-7,no,yes,20.97
graduate,52,2.7532039,9,50-59,8 up,no,yes,17.18
college,20,3.458148,0,20-29,0-3,no,no,13.56
graduate,67,.20318107,8,60 up,8 up,no,no,19.33
high school or equivalent,22,3.1515059,2,20-29,0-3,no,yes,14.86
high school or equivalent,50,-.99032611,4,50-59,4-7,no,yes,18.95
college,54,-.68005496,5,50-59,4-7,yes,yes,25.9
high school or equivalent,49,.18551481,5,40-49,4-7,no,yes,17.27
high school or equivalent,27,-.52976507,2,20-29,0-3,no,yes,17.12
college,22,1.6931438,2,20-29,0-3,no,no,12.82
college,58,-.76446962,6,50-59,4-7,no,no,21.93
college,65,-1.1272337,6,60 up,4-7,yes,yes,26.43
college,48,-.98856115,4,40-49,4-7,yes,yes,28.05
college,34,-1.8155875,2,30-39,0-3,no,no,19.37
college,47,-.93607563,4,40-49,4-7,no,no,16.23
college,47,.047968928,5,40-49,4-7,no,yes,18.07
high school or equivalent,42,-1.7412585,2,40-49,0-3,yes,yes,26.87
high school or equivalent,32,-2.1639204,1,30-39,0-3,no,yes,15.83
high school or equivalent,26,.095790662,2,20-29,0-3,no,no,18
graduate,36,2.564997,8,30-39,8 up,yes,yes,27.95
graduate,30,3.7242436,8,30-39,8 up,no,yes,13.19
graduate,34,.43746692,5,30-39,4-7,no,yes,16.69
high school or equivalent,20,2.7170634,0,20-29,0-3,no,yes,15.88
high school or equivalent,27,-.43765217,2,20-29,0-3,no,no,17.06
high school or equivalent,34,-1.2191339,2,30-39,0-3,no,yes,18.09
high school or equivalent,60,-1.0439091,4,60 up,4-7,no,yes,18.2
college,21,-.9057911,1,20-29,0-3,no,no,16.56
graduate,46,-3.3465335,3,40-49,0-3,yes,no,23.42
high school or equivalent,62,.59522879,6,60 up,4-7,no,no,18.67
high school or equivalent,41,1.7010924,5,40-49,4-7,no,yes,20.58
graduate,25,-.9171139,3,20-29,0-3,no,no,14.02
high school or equivalent,33,-1.8012908,1,30-39,0-3,no,yes,15.37
high school or equivalent,35,.18024848,3,30-39,0-3,no,yes,17.76
graduate,27,1.155499,5,20-29,4-7,no,yes,20.09
graduate,31,.56577283,5,30-39,4-7,no,yes,19.07
graduate,51,-.73085988,6,50-59,4-7,yes,yes,33.06
high school or equivalent,74,.5512343,7,60 up,4-7,yes,yes,31.7
high school or equivalent,40,1.7289973,5,40-49,4-7,no,yes,16.2
college,24,1.516631,4,20-29,4-7,yes,yes,20.54
high school or equivalent,27,-.15478422,2,20-29,0-3,no,yes,16.1
college,31,.39523777,4,30-39,4-7,yes,yes,25.66
college,47,.83608401,6,40-49,4-7,no,no,17.34
high school or equivalent,21,-2.748179,0,20-29,0-3,no,no,9.66
high school or equivalent,49,2.5838635,7,40-49,4-7,no,yes,22.55
college,20,3.9919255,0,20-29,0-3,no,yes,16.2
high school or equivalent,28,-1.5416913,1,20-29,0-3,no,yes,16.07
high school or equivalent,34,-.13899679,3,30-39,0-3,no,yes,13.94
high school or equivalent,70,3.2711964,10,60 up,8 up,yes,yes,34.44
college,49,-1.8810077,4,40-49,4-7,no,yes,18.39
college,29,-1.5408554,2,20-29,0-3,yes,yes,19.92
high school or equivalent,72,1.8806386,9,60 up,8 up,no,yes,21.69
college,24,-1.2038293,2,20-29,0-3,yes,yes,18.27
college,36,.24454941,4,30-39,4-7,yes,yes,24.84
graduate,58,-.025759976,7,50-59,4-7,yes,yes,28.32
high school or equivalent,56,3.446327,9,50-59,8 up,yes,yes,33.16
graduate,67,2.571846,11,60 up,8 up,yes,yes,31.15
graduate,21,3.3091962,1,20-29,0-3,yes,yes,18.1
college,39,-.4005349,4,30-39,4-7,yes,yes,25.16
high school or equivalent,62,-1.914638,4,60 up,4-7,no,yes,21.37
college,62,-.35252866,6,60 up,4-7,yes,yes,32.65
high school or equivalent,21,-1.5096946,0,20-29,0-3,no,yes,16.59
high school or equivalent,59,2.6458979,8,50-59,8 up,no,yes,20.41
graduate,33,-1.5594251,3,30-39,0-3,no,yes,16.08
college,54,-.83108741,5,50-59,4-7,no,yes,20.85
college,62,-1.0982774,6,60 up,4-7,no,no,19.83
college,22,-2.0024083,1,20-29,0-3,yes,no,14.19
graduate,70,-1.8671752,7,60 up,4-7,no,no,17.91
doctorate,46,-.69195962,6,40-49,4-7,yes,yes,26.8
college,44,2.4215443,7,40-49,4-7,yes,yes,24.76
high school or equivalent,45,-.36064851,4,40-49,4-7,no,yes,18.53
college,57,.71668047,7,50-59,4-7,no,yes,17.77
college,58,1.5306245,8,50-59,8 up,no,yes,18.37
high school or equivalent,20,-.012808303,0,20-29,0-3,no,no,12.91
high school or equivalent,66,-2.1047201,4,60 up,4-7,no,yes,18.89
graduate,41,3.0174265,9,40-49,8 up,no,yes,17.26
high school or equivalent,30,-.18096873,2,30-39,0-3,no,no,18.26
college,32,-2.7445879,1,30-39,0-3,no,no,14.11
graduate,31,.62403035,5,30-39,4-7,yes,yes,23.23
college,71,.775608,8,60 up,8 up,no,no,18.42
high school or equivalent,64,-.93974292,5,60 up,4-7,no,no,19.28
high school or equivalent,56,3.3265007,8,50-59,8 up,no,yes,19.13
college,55,-1.7809349,4,50-59,4-7,no,no,16.94
high school or equivalent,51,-1.081357,4,50-59,4-7,no,yes,18.8
college,54,-.58280945,5,50-59,4-7,no,yes,19.68
high school or equivalent,68,-.76394963,6,60 up,4-7,no,no,19.56
high school or equivalent,23,-1.1552541,1,20-29,0-3,no,no,16.63
high school or equivalent,39,.48213071,4,30-39,4-7,no,yes,18.61
college,37,2.4330955,7,30-39,4-7,yes,yes,27.43
high school or equivalent,24,-.62313682,1,20-29,0-3,no,no,12.84
college,29,.41110307,4,20-29,4-7,yes,yes,22.08
high school or equivalent,24,1.2681991,3,20-29,0-3,no,no,9.84
college,28,-1.6445928,2,20-29,0-3,no,no,11.21
college,63,-3.3381698,3,60 up,0-3,no,no,18.68
college,49,1.2422866,7,40-49,4-7,yes,yes,29.53
college,43,3.0346067,8,40-49,8 up,no,yes,21.44
graduate,25,.65411824,5,20-29,4-7,no,no,11.51
graduate,27,-1.1082603,3,20-29,0-3,no,yes,16.28
college,36,-.34525681,4,30-39,4-7,no,yes,17.6
graduate,43,-3.6474612,2,40-49,0-3,no,yes,17.52
graduate,43,-1.6549319,4,40-49,4-7,yes,yes,24.34
graduate,54,3.8790052,11,50-59,8 up,yes,yes,33.45
college,37,-1.8173035,2,30-39,0-3,yes,yes,21.25
college,30,-.92953962,3,30-39,0-3,no,yes,19.66
high school or equivalent,55,-1.9336785,3,50-59,0-3,no,yes,21.05
high school or equivalent,31,-2.3014925,0,30-39,0-3,no,no,14.23
graduate,74,-3.5746343,5,60 up,4-7,no,no,19.62
college,24,-3.9476719,0,20-29,0-3,yes,no,18.69
high school or equivalent,39,-2.8707097,1,30-39,0-3,yes,yes,24.23
college,33,-.46938774,3,30-39,0-3,no,no,15.67
high school or equivalent,44,-.57806975,3,40-49,0-3,no,yes,18.21
college,20,5.026958,0,20-29,0-3,yes,yes,16.42
graduate,20,-.61581153,0,20-29,0-3,yes,no,16.96
college,38,.30693242,5,30-39,4-7,yes,yes,24.23
graduate,73,1.2733457,10,60 up,8 up,yes,yes,32.38
college,30,3.588414,7,30-39,4-7,yes,yes,22.86
college,32,1.0816209,5,30-39,4-7,no,yes,18.62
college,30,-1.5738963,2,30-39,0-3,no,yes,15.94
high school or equivalent,49,-1.8192366,3,40-49,0-3,yes,yes,27.31
high school or equivalent,40,-.2934126,3,40-49,0-3,no,yes,14.54
college,67,-.72193438,6,60 up,4-7,yes,no,28.46
college,34,-4.1336393,1,30-39,0-3,yes,yes,24.52
college,22,1.1403867,2,20-29,0-3,yes,yes,15.93
college,29,.7398569,4,20-29,4-7,no,yes,16.62
high school or equivalent,48,-2.1362844,2,40-49,0-3,no,yes,20.73
college,46,.57830852,6,40-49,4-7,yes,yes,29.38
college,45,.4092705,5,40-49,4-7,no,no,17.16
graduate,74,.80139071,10,60 up,8 up,no,no,18.58
college,65,1.3729048,8,60 up,8 up,no,no,20.24
high school or equivalent,58,.2683129,6,50-59,4-7,no,no,19.34
college,35,.77527881,5,30-39,4-7,no,yes,14.97
graduate,38,.6459235,6,30-39,4-7,yes,yes,24.8
high school or equivalent,49,2.2639134,7,40-49,4-7,no,yes,20.8
college,23,-1.9249684,1,20-29,0-3,no,no,12.7
college,46,2.0262592,7,40-49,4-7,no,yes,18.86
college,48,2.8669212,8,40-49,8 up,no,yes,21.73
college,55,-2.4133317,4,50-59,4-7,yes,yes,27.1
high school or equivalent,20,3.7716126,0,20-29,0-3,yes,yes,23.12
high school or equivalent,59,.41993549,6,50-59,4-7,no,yes,19.31
college,30,1.1146339,5,30-39,4-7,no,no,16.19
college,34,.72994214,5,30-39,4-7,no,yes,16.32
high school or equivalent,29,.20120448,3,20-29,0-3,no,yes,20.24
high school or equivalent,21,1.4446461,1,20-29,0-3,no,yes,16.14
college,21,1.251847,1,20-29,0-3,no,yes,11.81
high school or equivalent,42,-2.3909523,1,40-49,0-3,no,yes,19.1
college,39,-1.7920243,3,30-39,0-3,no,yes,16.82
college,49,.81050038,6,40-49,4-7,no,yes,21.2
high school or equivalent,47,.86165577,5,40-49,4-7,no,yes,19.18
college,56,4.8385601,11,50-59,8 up,yes,yes,33.61
graduate,28,-3.4363763,2,20-29,0-3,yes,no,22.52
high school or equivalent,24,.82914311,3,20-29,0-3,no,yes,16.75
college,30,5.5296211,9,30-39,8 up,yes,yes,28.86
college,63,1.8710337,9,60 up,8 up,no,yes,18.46
college,42,.78799295,5,40-49,4-7,no,yes,23.06
college,22,-.60241085,2,20-29,0-3,yes,yes,18.24
high school or equivalent,30,1.9096835,4,30-39,4-7,yes,yes,24.88
high school or equivalent,52,1.1191155,6,50-59,4-7,yes,yes,31.3
graduate,34,-2.2466295,3,30-39,0-3,no,yes,17.4
high school or equivalent,62,-3.3878441,2,60 up,0-3,no,no,16.47
graduate,28,.057320263,4,20-29,4-7,no,yes,14.35
college,33,-2.8912549,1,30-39,0-3,yes,yes,21.82
college,21,.95905697,1,20-29,0-3,yes,yes,11.34
college,21,-.82233953,1,20-29,0-3,yes,yes,17.43
high school or equivalent,33,-4.560771,0,30-39,0-3,no,yes,17.18
high school or equivalent,57,1.5618922,7,50-59,4-7,yes,yes,27.61
college,26,.66412961,4,20-29,4-7,yes,yes,21.15
graduate,38,-1.3423336,4,30-39,4-7,yes,yes,25.87
graduate,41,1.0339601,7,40-49,4-7,yes,yes,28.95
college,35,3.2857692,7,30-39,4-7,yes,yes,27.02
college,29,.089321658,3,20-29,0-3,yes,yes,17.31
college,34,-1.6671999,2,30-39,0-3,no,no,14.98
high school or equivalent,48,-3.0514991,1,40-49,0-3,no,yes,18
high school or equivalent,38,1.2053747,5,30-39,4-7,no,yes,17.81
college,70,-1.3546042,6,60 up,4-7,no,no,24
college,36,-.027430277,4,30-39,4-7,no,yes,13.11
doctorate,60,.022110289,9,60 up,8 up,yes,yes,34.43
college,52,-.088508278,6,50-59,4-7,no,yes,20.25
high school or equivalent,71,-1.5994068,5,60 up,4-7,yes,no,27.66
college,27,2.4369755,6,20-29,4-7,no,yes,16.4
college,27,.75057489,4,20-29,4-7,no,no,14.56
college,57,1.8485165,8,50-59,8 up,no,no,18.3
college,63,.87152773,8,60 up,8 up,no,yes,20.92
high school or equivalent,43,-.76731718,3,40-49,0-3,no,yes,12.29
college,38,-.81560707,3,30-39,0-3,no,yes,11.67
graduate,57,1.7825161,9,50-59,8 up,no,no,16.72
college,21,-.95927936,1,20-29,0-3,no,no,12.38
high school or equivalent,48,1.6161067,6,40-49,4-7,no,yes,18.67
graduate,54,3.2201395,10,50-59,8 up,no,yes,21.23
college,58,-.58099633,6,50-59,4-7,yes,yes,29.31
high school or equivalent,50,-.25107086,4,50-59,4-7,yes,yes,29.58
college,31,5.3144531,9,30-39,8 up,no,yes,18.01
college,39,1.3767102,6,30-39,4-7,no,yes,14.59
high school or equivalent,52,1.7675686,6,50-59,4-7,no,yes,20.35
high school or equivalent,45,-.0092039732,4,40-49,4-7,no,yes,21.58
college,33,-5.3202701,0,30-39,0-3,no,no,15.06
graduate,61,2.9148879,11,60 up,8 up,yes,yes,31.17
high school or equivalent,20,3.4206707,0,20-29,0-3,no,yes,13.73
graduate,51,.061947364,7,50-59,4-7,no,yes,17.04
college,39,-2.4555771,2,30-39,0-3,yes,yes,23.47
college,23,1.8940612,3,20-29,0-3,yes,yes,15.24
high school or equivalent,30,2.3934402,5,30-39,4-7,no,no,18.75
graduate,40,-2.2618356,3,40-49,0-3,yes,yes,24.34
high school or equivalent,49,-3.2306759,1,40-49,0-3,no,yes,19.5
college,60,-3.6794775,3,60 up,0-3,no,yes,18.93
high school or equivalent,53,-.99325788,4,50-59,4-7,no,no,21.48
high school or equivalent,28,1.5699557,4,20-29,4-7,yes,yes,23.42
graduate,53,1.8496118,9,50-59,8 up,no,no,15.65
college,37,1.8970977,6,30-39,4-7,yes,yes,26.63
graduate,31,-.5223735,4,30-39,4-7,yes,yes,20.13
graduate,56,2.4091935,10,50-59,8 up,yes,yes,34.14
college,56,-2.145401,4,50-59,4-7,no,no,19.02
high school or equivalent,21,.23417079,1,20-29,0-3,no,no,11.13
college,40,.44156042,5,40-49,4-7,no,yes,18.66
high school or equivalent,22,1.0087882,2,20-29,0-3,no,yes,17.24
college,36,-1.2226682,3,30-39,0-3,no,no,15.99
high school or equivalent,23,-.36904702,1,20-29,0-3,no,yes,11.63
high school or equivalent,48,-.83434725,3,40-49,0-3,no,yes,14.77
high school or equivalent,29,1.4110111,4,20-29,4-7,no,yes,18.4
college,23,-.24231328,3,20-29,0-3,yes,yes,15.65
high school or equivalent,45,.4938958,4,40-49,4-7,no,yes,13.85
high school or equivalent,43,-.2364922,4,40-49,4-7,no,no,12.99
college,47,-.11195383,5,40-49,4-7,yes,yes,22.32
high school or equivalent,56,3.9455032,9,50-59,8 up,no,yes,26.31
high school or equivalent,21,.68070328,1,20-29,0-3,no,yes,15.66
high school or equivalent,73,-1.0978441,6,60 up,4-7,no,no,20.05
college,44,1.5594565,6,40-49,4-7,no,yes,22.02
college,30,3.5158212,7,30-39,4-7,yes,yes,24.4
high school or equivalent,39,-.72533655,3,30-39,0-3,no,yes,15.79
high school or equivalent,37,1.701529,5,30-39,4-7,yes,yes,26.2
college,30,1.79677,5,30-39,4-7,yes,yes,27.43
college,30,-1.6915582,2,30-39,0-3,no,no,15.45
graduate,30,-3.1880298,2,30-39,0-3,no,no,16.12
graduate,22,-1.8243024,2,20-29,0-3,yes,yes,18.63
high school or equivalent,21,-3.0607283,0,20-29,0-3,no,no,15.99
college,49,2.6679275,8,40-49,8 up,yes,yes,27.55
high school or equivalent,34,4.4989581,7,30-39,4-7,no,yes,19.38
college,35,-2.4956837,2,30-39,0-3,no,yes,21.03
college,27,1.2541807,4,20-29,4-7,yes,yes,22.03
high school or equivalent,50,.10288487,5,50-59,4-7,no,yes,23.14
college,55,-.89829266,5,50-59,4-7,yes,yes,28.68
college,21,-1.2562687,1,20-29,0-3,yes,yes,15.04
high school or equivalent,24,.96493292,3,20-29,0-3,no,yes,16.56
high school or equivalent,59,-1.0864794,4,50-59,4-7,no,yes,17.78
high school or equivalent,53,.065254889,5,50-59,4-7,no,yes,22.97
college,51,1.0515645,7,50-59,4-7,yes,yes,26.85
high school or equivalent,36,-2.1348882,1,30-39,0-3,no,yes,16.8
graduate,40,1.156872,7,40-49,4-7,yes,yes,28.84
college,53,-.57671869,5,50-59,4-7,no,yes,21.34
graduate,29,1.2564728,6,20-29,4-7,yes,yes,24.03
high school or equivalent,41,1.6053896,5,40-49,4-7,no,yes,22.05
high school or equivalent,55,3.2322772,8,50-59,8 up,no,yes,21
doctorate,72,-.84472907,9,60 up,8 up,no,no,17.79
college,56,-.68779731,5,50-59,4-7,yes,yes,27.02
high school or equivalent,59,.058585886,5,50-59,4-7,yes,yes,33.3
high school or equivalent,41,-1.5989213,2,40-49,0-3,no,yes,20.04
college,37,-.31987703,4,30-39,4-7,yes,yes,22.94
college,42,-2.7878895,2,40-49,0-3,yes,yes,23.12
high school or equivalent,44,.74196869,5,40-49,4-7,no,yes,19.38
graduate,22,.45763615,2,20-29,0-3,yes,yes,14.79
high school or equivalent,40,-2.1072431,1,40-49,0-3,yes,yes,26.25
doctorate,51,-.69154465,7,50-59,4-7,no,no,17.72
high school or equivalent,22,-1.6188405,0,20-29,0-3,no,yes,14.02
college,26,-.66635102,2,20-29,0-3,no,yes,14.55
high school or equivalent,55,-1.706199,3,50-59,0-3,yes,yes,24.04
high school or equivalent,29,-.80423081,2,20-29,0-3,no,no,13.82
graduate,63,.34823799,8,60 up,8 up,yes,yes,34.78
college,41,-1.1913625,3,40-49,0-3,no,yes,11.33
high school or equivalent,22,.77689153,2,20-29,0-3,yes,yes,17.39
high school or equivalent,44,-3.7283568,0,40-49,0-3,no,yes,16.72
high school or equivalent,33,-2.0010262,1,30-39,0-3,no,yes,15
high school or equivalent,42,-.36565194,3,40-49,0-3,no,yes,17.89
college,32,-1.1950324,3,30-39,0-3,yes,yes,21.73
college,21,1.4579364,1,20-29,0-3,yes,yes,19.1
college,37,-.040484276,4,30-39,4-7,no,yes,20.72
college,47,2.1072383,7,40-49,4-7,no,yes,20.05
college,29,3.8954189,7,20-29,4-7,no,yes,17.15
high school or equivalent,39,.039814331,3,30-39,0-3,no,yes,18
high school or equivalent,23,-.45929289,1,20-29,0-3,no,yes,13.89
high school or equivalent,29,-3.0955474,0,20-29,0-3,no,yes,12.91
college,50,-.53084332,5,50-59,4-7,no,yes,16.75
graduate,64,4.129951,12,60 up,8 up,yes,yes,31.35
college,35,-2.6452594,1,30-39,0-3,yes,yes,25.02
graduate,45,3.1784348,9,40-49,8 up,no,yes,20.86
college,33,-1.2891326,3,30-39,0-3,no,no,17.92
graduate,32,.44251502,5,30-39,4-7,no,yes,20.77
high school or equivalent,21,1.421783,1,20-29,0-3,no,yes,18.73
high school or equivalent,56,4.2959428,9,50-59,8 up,no,yes,19.98
college,40,-4.0246072,1,40-49,0-3,no,yes,15.06
college,27,-.92497706,2,20-29,0-3,no,yes,16.72
college,37,-.47970313,4,30-39,4-7,no,yes,18.57
graduate,23,2.6182966,3,20-29,0-3,no,no,14.31
college,42,-.93466216,4,40-49,4-7,no,yes,16.3
college,66,-3.3153968,4,60 up,4-7,no,no,22.17
high school or equivalent,41,-.57155991,3,40-49,0-3,no,yes,19.26
college,29,1.4818479,5,20-29,4-7,yes,yes,22.7
college,28,.1498082,3,20-29,0-3,no,no,14.7
college,53,2.2845395,8,50-59,8 up,no,yes,20.13
college,37,.29571742,4,30-39,4-7,no,yes,15.65
high school or equivalent,40,5.239819,9,40-49,8 up,no,yes,18.4
graduate,49,.88774639,7,40-49,4-7,no,yes,19.37
college,69,1.9851801,9,60 up,8 up,yes,no,33.7
high school or equivalent,44,1.6122606,6,40-49,4-7,no,yes,17.64
college,46,-1.7417616,3,40-49,0-3,yes,yes,24.48
doctorate,73,-.57352549,9,60 up,8 up,yes,no,28.78
college,47,.37114882,6,40-49,4-7,no,yes,17.11
high school or equivalent,40,-1.9750738,2,40-49,0-3,no,no,11.54
college,50,3.8158476,9,50-59,8 up,yes,yes,31.78
graduate,53,1.0525055,8,50-59,8 up,yes,yes,30.71
college,30,-.90159124,3,30-39,0-3,yes,yes,23.15
college,26,1.8030944,5,20-29,4-7,yes,yes,23.08
college,37,-1.5460966,3,30-39,0-3,no,yes,18.89
college,27,-.090913698,3,20-29,0-3,yes,yes,14.05
college,27,-2.9225955,1,20-29,0-3,no,no,12.44
high school or equivalent,44,-1.6678816,2,40-49,0-3,no,yes,17.61
college,71,-2.5245843,5,60 up,4-7,no,yes,16.25
high school or equivalent,72,-2.1947579,5,60 up,4-7,no,no,19.09
high school or equivalent,35,2.717895,6,30-39,4-7,no,yes,23.68
high school or equivalent,20,.61384571,0,20-29,0-3,no,yes,13.06
high school or equivalent,27,3.3346677,6,20-29,4-7,yes,yes,23.92
college,39,2.0251637,6,30-39,4-7,yes,yes,27.47
high school or equivalent,52,-1.4453799,3,50-59,0-3,yes,yes,30.37
high school or equivalent,41,1.6075279,5,40-49,4-7,no,yes,25.25
college,45,1.1992121,6,40-49,4-7,no,no,20.27
high school or equivalent,55,-2.6741045,2,50-59,0-3,no,yes,18.18
college,36,-1.2708625,3,30-39,0-3,yes,yes,23.08
high school or equivalent,44,.32256743,4,40-49,4-7,no,yes,17.2
high school or equivalent,49,5.9521298,10,40-49,8 up,no,yes,22.98
college,55,.24355015,6,50-59,4-7,no,yes,20.2
college,53,.93830097,7,50-59,4-7,yes,yes,35.29
high school or equivalent,73,-2.8484313,4,60 up,4-7,yes,no,32.22
doctorate,47,.21925314,7,40-49,4-7,yes,no,25.27
college,51,-2.063539,4,50-59,4-7,no,no,15.26
college,42,-.64073372,4,40-49,4-7,yes,yes,25.03
college,49,1.1705976,7,40-49,4-7,yes,yes,29.91
high school or equivalent,30,1.2401506,4,30-39,4-7,no,yes,15.44
high school or equivalent,33,-3.6733067,0,30-39,0-3,no,no,9.18
college,22,-1.9730022,1,20-29,0-3,yes,yes,18.66
high school or equivalent,23,-2.7789779,0,20-29,0-3,yes,yes,14.89
graduate,21,-.45619512,1,20-29,0-3,yes,yes,13.24
college,74,-.68033624,7,60 up,4-7,no,no,21.67
college,44,1.7205437,7,40-49,4-7,yes,yes,29.05
college,35,-.29243931,4,30-39,4-7,no,yes,17.15
high school or equivalent,44,-.49602702,3,40-49,0-3,yes,yes,26.23
college,32,-3.8191175,1,30-39,0-3,yes,yes,23.47
high school or equivalent,31,1.1532203,4,30-39,4-7,no,yes,13.77
high school or equivalent,37,1.0222332,4,30-39,4-7,no,yes,13.4
high school or equivalent,41,2.013829,6,40-49,4-7,no,yes,18.92
graduate,28,2.4502039,7,20-29,4-7,yes,yes,25.86
high school or equivalent,21,-1.9801195,0,20-29,0-3,no,no,12.2
college,36,1.9101726,6,30-39,4-7,no,yes,16.29
high school or equivalent,41,-1.822144,2,40-49,0-3,no,yes,18.83
college,57,.51457769,7,50-59,4-7,no,yes,17.85
graduate,49,-1.049446,5,40-49,4-7,yes,yes,31.19
graduate,54,1.1421963,8,50-59,8 up,yes,yes,31.64
high school or equivalent,47,1.8373686,6,40-49,4-7,no,yes,16.12
college,29,-2.9008567,1,20-29,0-3,no,no,16.28
high school or equivalent,62,.93376732,7,60 up,4-7,no,no,16.07
high school or equivalent,26,-1.0926526,1,20-29,0-3,no,yes,18.43
college,46,-1.0546305,4,40-49,4-7,no,yes,15.63
college,49,4.2841539,10,40-49,8 up,no,yes,21.27
high school or equivalent,57,-.24896774,5,50-59,4-7,no,yes,17.39
college,57,-1.7731731,4,50-59,4-7,yes,no,26.9
high school or equivalent,35,-.16870809,3,30-39,0-3,no,yes,18.16
high school or equivalent,35,1.0643737,4,30-39,4-7,no,yes,18.27
college,26,-2.4203236,1,20-29,0-3,no,no,13.63
high school or equivalent,51,-1.6607805,3,50-59,0-3,no,yes,16.31
college,37,-.98798186,3,30-39,0-3,no,yes,17.91
high school or equivalent,44,-3.1526358,1,40-49,0-3,no,yes,22.58
college,33,-1.5279399,2,30-39,0-3,yes,yes,22.65
college,44,2.0450592,7,40-49,4-7,yes,yes,28.19
college,29,-1.4615828,2,20-29,0-3,no,yes,15.63
high school or equivalent,67,-1.9614453,4,60 up,4-7,no,no,17.2
doctorate,36,2.273047,8,30-39,8 up,no,yes,21.43
high school or equivalent,53,1.2711312,6,50-59,4-7,yes,yes,30.75
graduate,54,-2.0912507,5,50-59,4-7,no,no,20.87
college,25,.13097763,3,20-29,0-3,yes,yes,22.2
college,49,2.6097417,8,40-49,8 up,yes,yes,29.73
high school or equivalent,32,-1.9150662,1,30-39,0-3,no,no,15.19
college,25,3.5740998,5,20-29,4-7,no,yes,19.91
college,51,.66111606,6,50-59,4-7,yes,yes,27.79
doctorate,25,1.5656557,5,20-29,4-7,yes,yes,23.07
graduate,29,.82094431,5,20-29,4-7,yes,yes,25.29
high school or equivalent,25,1.9495836,4,20-29,4-7,no,yes,17.91
graduate,47,-2.2217836,4,40-49,4-7,no,yes,14.21
college,40,.4209033,5,40-49,4-7,yes,yes,24.13
college,43,3.1311004,8,40-49,8 up,no,yes,17.79
graduate,30,-.82558626,4,30-39,4-7,yes,yes,21.94
college,35,1.8958204,6,30-39,4-7,yes,yes,25.73
college,25,2.3418567,5,20-29,4-7,yes,yes,23.25
college,41,.59196126,5,40-49,4-7,yes,yes,30.16
graduate,21,2.0922329,1,20-29,0-3,no,yes,12.52
high school or equivalent,51,.035510782,5,50-59,4-7,no,yes,23.28
college,38,-.56241006,4,30-39,4-7,no,yes,16.91
graduate,49,-2.0714686,4,40-49,4-7,yes,no,28.55
college,23,2.8742759,3,20-29,0-3,yes,yes,17.77
high school or equivalent,54,-4.0132389,1,50-59,0-3,no,yes,17.01
graduate,50,-1.9192851,5,50-59,4-7,yes,yes,31.88
college,32,-.29157057,3,30-39,0-3,no,yes,15.19
high school or equivalent,51,2.7779539,7,50-59,4-7,yes,yes,34.31
high school or equivalent,48,-.26174372,4,40-49,4-7,no,yes,20.06
college,38,-.53275722,4,30-39,4-7,yes,yes,27.31
high school or equivalent,28,2.5627124,5,20-29,4-7,no,yes,18.81
college,31,-.14009798,3,30-39,0-3,yes,yes,22
graduate,39,-2.3547204,3,30-39,0-3,yes,yes,21.06
college,47,-.35311204,5,40-49,4-7,no,yes,15.04
college,49,-1.1415032,4,40-49,4-7,yes,yes,29.44
college,32,-.027414277,4,30-39,4-7,yes,yes,26.56
college,27,-2.8845751,1,20-29,0-3,yes,yes,17.16
college,30,-.8385148,3,30-39,0-3,no,yes,16.35
college,21,1.9615493,1,20-29,0-3,no,yes,18.16
high school or equivalent,36,-2.1045287,1,30-39,0-3,no,no,15.43
graduate,35,.68686235,6,30-39,4-7,yes,yes,29.19
graduate,29,-.52054286,4,20-29,4-7,no,no,16.28
graduate,57,-1.624563,6,50-59,4-7,no,yes,15.54
high school or equivalent,46,1.6052687,6,40-49,4-7,no,yes,14.88
graduate,24,3.5589061,4,20-29,4-7,no,yes,13.12
high school or equivalent,56,-.80889183,4,50-59,4-7,yes,yes,26.43
high school or equivalent,42,-2.5156682,1,40-49,0-3,no,yes,14.85
college,25,1.2470149,4,20-29,4-7,no,no,13.99
college,68,.80330694,8,60 up,8 up,yes,no,25.44
college,67,-2.0412314,5,60 up,4-7,no,no,14.53
college,20,-3.5904415,0,20-29,0-3,yes,no,19.92
college,22,-1.465668,1,20-29,0-3,yes,yes,16.88
college,59,1.7314688,8,50-59,8 up,yes,yes,31.35
